x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;y
29.8;18.8;24.01;93.12;61;100;280;48.4;11.3;1.29;4378.96;4383.24
29.9;18.9;24.14;89.5;46;100;317;66.8;11.3;1.38;4383.24;4943.15
29.6;20.3;24.18;92.8;62;100;275;35;6.4;1.05;4943.15;4342.76
28.1;21.1;23.19;97.65;70;100;161;232.6;11.3;1.51;4342.76;4574.53
29.4;19.4;24.09;89.6;62;100;309;15.2;9.7;1.77;4574.53;4299.36
29.9;19.9;24.49;88.53;62;100;320;13;8;1.43;4299.36;4524.46
30.6;19.9;24.98;88.26;58;100;387;1.6;9.7;2.01;4524.46;4775.19
30.5;21.6;25.75;88.65;64;100;361;0.6;11.3;2.51;4775.19;4214.26
31.1;18.2;25.12;85.2;53;100;331;0.2;9.7;1.73;4214.26;4349.26
30.8;21.3;25.78;88.7;57;100;333;40.4;9.7;1.97;4349.26;3962.57
31.5;22.2;25.51;90.84;51;100;293;42.8;9.7;1.38;3962.57;4952.07
30;22.3;25.46;92.97;68;100;243;59.8;11.3;1.18;4952.07;3893.84
30.7;22.6;26.02;91.94;69;100;313;23.6;9.7;1.57;3893.84;4357.88
30.4;22.2;25.44;95.09;72;100;144;207;8;1.29;4357.88;3977.5
31.6;22.2;26.14;91.88;66;100;280;13.4;6.4;1.25;3977.5;4938.53
32.1;22.9;26.86;90.76;67;100;358;33.2;11.3;1.85;4938.53;5986.94
31.2;22.6;25.93;94.5;69;100;226;37;6.4;1.2;5986.94;5785.32
33.8;23.1;26.27;94.01;66;100;255;97.6;9.7;1.47;5785.32;5524.56
31.3;23;26.31;91.71;67;100;311;16.2;6.4;1.48;5524.56;6209.22
32.6;22.1;26.56;91.11;65;100;334;26.6;8;1.49;6209.22;6035.82
33.1;23.2;26.24;91.61;63;100;290;23.2;8;1.65;6035.82;5956.87
31.1;22.6;25.57;93.86;71;100;175;35;6.4;1.36;5956.87;6064.81
30.7;21.5;25.58;95.77;67;100;204;139.4;11.3;1.36;6064.81;5845.22
31.6;21.7;25.94;93.43;65;100;270;101.6;4.8;1.34;5845.22;5807.26
31.6;23.4;26.71;92.81;65;100;301;72.8;9.7;1.71;5807.26;5446.65
30.9;23.1;25.98;96.58;71;100;186;231.6;6.4;1.19;5446.65;5828.91
31.9;22.7;26.18;93.88;68;100;276;102.4;8;1.42;5828.91;5352.46
31.8;23.6;26.68;90.52;66;100;371;28;8;1.71;5352.46;6147.75
31.9;23.5;26.29;93.66;65;100;247;31.6;6.4;1.35;6147.75;5287.57
31.7;22.8;26.94;89.88;63;100;327;5.6;8;1.9;5287.57;5026.92
32.6;23.8;26.99;90.45;64;100;344;14.2;6.4;1.83;5026.92;5563.28
32.4;22.7;27.07;88.17;58;100;409;1.8;8;1.81;5563.28;5663.86
32.5;23.6;26.78;91.36;64;100;290;13.4;8;1.62;5663.86;5654.73
31.7;23.2;26.6;91.09;66;100;316;23.4;8;1.73;5654.73;4954.74
32;23.1;26.45;93.89;64;100;242;63.4;8;1.26;4954.74;4642.97
31.4;22.3;26.37;62.48;1;100;233;25.8;8;1.44;4642.97;4772.37
31;24.4;26.64;66.99;0;100;214;82;6.4;1.39;4772.37;5623.97
